http://lg.ix.net.ua
BGP router identifier 195.35.65.1, local AS number 15645
BGP table version is 93442649, main routing table version 93442649
75890 network entries using 18820720 bytes of memory
114962 path entries using 13795440 bytes of memory
46930/19800 BGP path/bestpath attribute entries using 11263200 bytes of memory
18064 BGP AS-PATH entries using 917296 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
1626 BGP community entries using 90054 bytes of memory
23 BGP extended community entries using 800 bytes of memory
101 BGP route-map cache entries using 6464 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 44893974 total bytes of memory
16408 received paths for inbound soft reconfiguration
BGP activity 10174181/10098025 prefixes, 60516035/60400689 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
185.1.51.16     4        59497       0       0        1    0    0 3w3d     Active
185.1.51.17     4        50856  177408 4577644 93442649    0    0 15w5d           4
185.1.51.18     4        59492   75552 1194072 93442649    0    0 3w3d            3
185.1.51.19     4        51069    3902   81031 93442649    0    0 2d16h           5
185.1.51.20     4        49824  107569 1553422 93442649    0    0 4w5d           17
185.1.51.21     4       196924   67782 2144010 93442649    0    0 6w4d            2
185.1.51.22     4        48919  337342 4914634 93442649    0    0 15w3d          20
185.1.51.23     4        51500    6282  164949 93442649    0    0 4d07h           1
185.1.51.24     4        51500    6338  164944 93442649    0    0 4d07h           2
185.1.51.25     4        51500    6289  164997 93442649    0    0 4d07h           1
185.1.51.26     4        29102   13940  105247 93442649    0    0 3d05h           1
185.1.51.27     4        31148  261374 2279989 93442649    0    0 6w5d          612
185.1.51.28     4       204384   76926 1193993 93442649    0    0 3w3d            1
185.1.51.29     4        62206  123166 1641607 93442649    0    0 4w5d          124
185.1.51.166    4        15169  207905 2372933 93442649    0    0 6w5d          153
185.1.51.253    4        15645       0       0        1    0    0 11w6d    Active
http://lg.ix.net.ua
BGP router identifier 195.35.65.1, local AS number 15645
BGP table version is 93447678, main routing table version 93447678
75888 network entries using 18820224 bytes of memory
114955 path entries using 13794600 bytes of memory
46949/19836 BGP path/bestpath attribute entries using 11267760 bytes of memory
18041 BGP AS-PATH entries using 915696 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
1614 BGP community entries using 89190 bytes of memory
23 BGP extended community entries using 800 bytes of memory
1 BGP route-map cache entries using 64 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 44888334 total bytes of memory
16401 received paths for inbound soft reconfiguration
BGP activity 10174203/10098048 prefixes, 60516149/60400809 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
2001:7F8:5D::E  4        31148       0       0        1    0    0 never    Idle
185.1.50.4      4        12294  624821 15346293 93447678    0    0 38w0d         174
