http://lg.hlkomm.net/
BGP router identifier 85.232.0.1, local AS number 16097
BGP table version is 3012008098, main routing table version 3012008098
719812 network entries using 178513376 bytes of memory
1973840 path entries using 236860800 bytes of memory
220338/134212 BGP path/bestpath attribute entries using 54643824 bytes of memory
134354 BGP AS-PATH entries using 6069770 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
22267 BGP community entries using 1905300 bytes of memory
859 BGP extended community entries using 34826 bytes of memory
59 BGP route-map cache entries using 3776 bytes of memory
1069 BGP filter-list cache entries using 34208 bytes of memory
BGP using 478065880 total bytes of memory
BGP activity 24212796/23417328 prefixes, 857597166/855513078 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
85.232.0.48     4        16097  759574 1113821809 3013276945    0    0 1y16w           2
85.232.0.50     4        16097  218278 1102470141 3013276945    0    0 19w4d           4
85.232.0.51     4        16097 972071345 1168335447 3013276945    3    0 5w3d           72
85.232.0.55     4        16097  930028 1168369953 3013276945    0    0 5w3d         1551
85.232.1.1      4        16097  236226 1102506964 3013276945    0    0 19w5d         150
85.232.1.2      4        16097  280860 1102480559 3013276945    0    0 19w4d         189
85.232.1.4      4        16097  359814 1104749751 3013276945    0    0 35w4d          14
85.232.1.5      4        16097  760265 1113822067 3013276945    0    0 1y16w          12
85.232.1.6      4        16097  761936 1113820393 3013276945    0    0 1y16w          18
85.232.1.7      4        16097  884525 1113828813 3013276945    0    0 1y16w         111
85.232.1.9      4        16097  220624 1102511080 3013276945    0    0 19w5d          74
85.232.1.11     4        16097   89117 1168343941 3013276945    0    0 5w3d           34
85.232.1.12     4        16097  222373 1102502814 3013276945    0    0 19w5d          13
85.232.1.13     4        16097   61541 1099457995 3013276945    0    0 5w3d           54
85.232.1.14     4        16097  220757 1102506102 3013276945    0    0 19w5d          42
85.232.1.15     4        16097  222291 1102492824 3013276945    0    0 19w5d          20
85.232.1.16     4        16097  221128 1102485352 3013276945    0    0 19w4d          59
85.232.1.17     4        16097  223304 1102495712 3013276945    0    0 19w4d          76
85.232.1.18     4        16097  235172 1102484791 3013276945    0    0 19w4d          74
85.232.1.19     4        16097  221372 1102481045 3013276945    0    0 19w4d          46
85.232.1.20     4        16097  218557 1102482366 3013276945    0    0 19w4d          42
85.232.1.21     4        16097   62462 1099473199 3013276945    0    0 5w3d           92
85.232.1.22     4        16097  243823 1102477859 3013276945    0    0 19w4d          29
85.232.1.23     4        16097   61376 1168344851 3013276945    0    0 5w3d           23
85.232.1.24     4        16097  759542 1113822001 3013276945    0    0 1y16w           9
85.232.1.25     4        16097   38310 680068379 3013276945    0    0 3w2d          117
85.232.1.26     4        16097  221278 1102470232 3013276945    0    0 19w4d          58
85.232.1.27     4        16097   38060 680067549 3013276945    0    0 3w2d           10
85.232.1.33     4        16097  508376 1106431480 3013276945    0    0 45w5d           2
85.232.1.34     4        16097   75292 1099671703 3013276945    0    0 6w5d            4
85.232.1.35     4        16097  218349 1102469843 3013276945    0    0 19w4d           5
85.232.1.36     4        16097   37673 680067537 3013276945    0    0 3w2d            6
85.232.1.37     4        16097       0       0        1    0    0 never    Active
85.232.1.38     4        16097  220104 1102501334 3013276945    0    0 19w5d          47
85.232.1.39     4        16097  223201 1102498720 3013276945    0    0 19w5d          19
85.232.1.40     4        16097   61373 1168344851 3013276945    0    0 5w3d           25
85.232.1.41     4        16097       0       0        1    0    0 never    Idle
85.232.1.42     4        16097  763043 1113820493 3013276945    0    0 1y16w           6
85.232.1.43     4        16097  221142 1102502792 3013276945    0    0 19w5d          77
85.232.1.44     4        16097  220648 1102473563 3013276945    0    0 19w4d          54
85.232.1.45     4        16097  224515 1102501561 3013276945    0    0 19w5d          23
85.232.1.46     4        16097   37657 717611912 3013276945    0    0 3w2d           10
85.232.1.47     4        16097   37645 680068395 3013276945    0    0 3w2d            3
85.232.1.48     4        16097   61360 1168344851 3013276945    0    0 5w3d           22
85.232.1.50     4        16097   61359 1168344851 3013276945    0    0 5w3d           18
85.232.1.51     4        16097   37648 680068452 3013276945    0    0 3w2d            6
85.232.1.52     4        16097  218353 1102471468 3013276945    0    0 19w4d           2
85.232.1.53     4        16097  203001 1102142517 3013276945    0    0 17w2d           2
85.232.1.54     4        16097   61386 1168344853 3013276951    0    0 5w3d           52
85.232.1.55     4        16097  759767 1113820425 3013276951    0    0 1y16w           3
85.232.1.56     4        16097  198672 1102503905 3013276951    0    0 19w5d           2
85.232.1.59     4        16097  767642 1113837563 3013276951    0    0 1y16w          15
85.232.1.60     4        16097  220103 1102503875 3013276951    0    0 19w5d           6
85.232.1.61     4        16097  658390 1109173369 3013276951    0    0 1y7w            3
85.232.1.62     4        16097       0       0        1    0    0 never    Idle
85.232.2.1      4        16097  220619 1102470152 3013276951    0    0 19w4d          30
85.232.3.44     4        16097    1867 18537342 3013276951    0    0 15:32:41        0
85.232.3.131    4        16097       0       0        1    0    0 never    Active
85.232.3.153    4        16097   55349 1151914629 3013276951    0    0 5w3d            0
85.232.3.162    4        16097  104147 1100444106 3013276951    0    0 9w2d            0
85.232.3.186    4        16097   61352 1168331229 3013276951    0    0 5w3d           14
109.104.62.226  4        16097  275221 1100738730 3013276951    0    0 11w5d           2
109.104.63.187  4        16097    3916 69581321 3013276951    0    0 2d10h           2
109.104.63.188  4        16097   10026 178967508 3013276951    0    0 6d06h           2
109.104.63.189  4        16097   50804 902670609 3013276951    0    0 4w3d            2
109.104.63.190  4        16097   17671 370635079 3013276951    0    0 1w5d            7
109.104.63.191  4        16097  152829 1101559647 3013276951    0    0 13w4d           3
109.104.63.192  4        16097  131613 1101061320 3013276951    0    0 11w4d           2
109.104.63.193  4        16097   19624 349429976 3013276951    0    0 1w5d            2
109.104.63.194  4        16097   82238 1099798707 3013276951    0    0 7w2d            2
109.104.63.195  4        16097   38055 680068391 3013276951    0    0 3w2d            4
109.104.63.196  4        16097  222437 1102508865 3013276951    0    0 19w5d           3
109.104.63.197  4        16097  176554 1101819592 3013276951    0    0 15w5d           2
109.104.63.198  4        16097  150631 1101528968 3013276951    0    0 13w3d           2
109.104.63.199  4        16097  347419 1104113308 3013276951    0    0 30w5d           4
109.104.63.200  4        16097  375931 1104406171 3013276951    0    0 33w3d           5
109.104.63.201  4        16097  398733 1104755024 3013276951    0    0 35w2d           5
109.104.63.202  4        16097  172048 1101773571 3013276951    0    0 15w2d           2
109.104.63.203  4        16097  522720 1106738081 3013276951    0    0 46w4d           2
109.104.63.204  4        16097  221582 1102475831 3013276951    0    0 19w4d           2
109.104.63.205  4        16097  313311 1103628139 3013276951    0    0 27w6d           3
109.104.63.206  4        16097   38091 680068448 3013276951    0    0 3w2d            4
109.104.63.207  4        16097  221551 1102469954 3013276951    0    0 19w4d           6
109.104.63.208  4        16097  221535 1102473146 3013276951    0    0 19w4d           4
109.104.63.209  4        16097  622133 1108315362 3013276951    0    0 1y3w            3
109.104.63.210  4        16097 120957501 1099434631 3013276951    0    0 1y1w       315329
109.104.63.211  4        16097  667435 1109254792 3013276951    0    0 1y7w            3
109.104.63.212  4        16097  658867 1108818846 3013276951    0    0 1y6w            2
109.104.63.213  4        16097  228492 1102554530 3013276951    0    0 20w2d           2
109.104.63.214  4        16097 252313678 1102606805 3013276951    0    0 1y11w      470953
109.104.63.215  4        16097  223095 1102492821 3013276951    0    0 19w5d          16
109.104.63.216  4        16097  345924 1104114845 3013276951    0    0 30w5d           4
109.104.63.217  4        16097  222472 1102508346 3013276951    0    0 19w5d           3
109.104.63.218  4        16097  658803 1108817767 3013276951    0    0 1y6w            2
109.104.63.219  4        16097  221613 1102476964 3013276951    0    0 19w4d           2
109.104.63.220  4        16097  176227 1101811559 3013276951    0    0 15w4d           2
109.104.63.221  4        16097       0       0        1    0    0 3d06h    Active
109.104.63.231  4        16097    5990 106853017 3013276951    0    0 3d17h           6
109.104.63.232  4        16097  221488 1102472068 3013276951    0    0 19w4d           3
109.104.63.233  4        16097  220543 1102469879 3013276951    0    0 19w4d           2
109.104.63.234  4        16097  143032 1101432200 3013276951    0    0 12w5d           5
109.104.63.235  4        16097  223983 1102494518 3013276951    0    0 19w5d           4
109.104.63.236  4        16097  590869 1107832201 3013276951    0    0 1y0w            2
109.104.63.237  4        16097  222499 1102508397 3013276951    0    0 19w5d           2
109.104.63.238  4        16097       0       0        1    0    0 1y6w     Active
109.104.63.239  4        16097  770494 1113823814 3013276951    0    0 1y16w           9
109.104.63.240  4        16097   38259 680068424 3013276951    0    0 3w2d            6
109.104.63.241  4        16097  548772 1107117718 3013276951    0    0 48w6d          17
109.104.63.242  4        16097   38190 680068458 3013276951    0    0 3w2d           15
109.104.63.243  4        16097  218177 1101716965 3013276951    0    0 14w5d           5
109.104.63.244  4        16097  924314 1113834435 3013276951    0    0 1y16w           4
109.104.63.245  4        16097  767607 1113820383 3013276951    0    0 1y16w           5
109.104.63.246  4        16097  218410 1102476963 3013276951    0    0 19w4d           2
109.104.63.247  4        16097  768307 1113820501 3013276951    0    0 1y16w           3
109.104.63.248  4        16097   55787 1168349971 3013276951    0    0 5w3d           21
109.104.63.249  4        16097 280871052 1101364053 3013276951    0    0 1y9w       534307
109.104.63.250  4        16097  400792 1104813176 3013276951    0    0 35w4d           3
109.104.63.251  4        16097  767593 1113820475 3013276951    0    0 1y16w           4
109.104.63.252  4        16097  198635 1102508827 3013276951    0    0 19w5d           3
109.104.63.255  4        16097 231360661 1099889358 3013276951    0    0 1y5w       648876
