https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::44         12307     155202    1446260     0 5d05h03m      2/600
2001:7f8:24::ba         29222     167730    1391245     0 02w0d22h      5/600
2001:7f8:24::a9        200759    1034778    2094050     0 03w4d06h      1/600
91.206.52.60           202194     330028    1779601     0 09w6d10h      4/12000
91.206.52.71            34288     329084    1779612     0 09w6d10h      7/12000
2001:7f8:24::61        201505     300062    2809214     0 09w6d11h      1/600
91.206.52.97           201505     300063    1779927     0 09w6d11h      1/12000
2001:7f8:24::c7        198249     299954    2820563     0 02w1d04h      1/600
2001:7f8:24::18          3856     300051    2809229     0 09w6d11h      1/600
91.206.52.199          198249     300587    1818237     0 02w1d04h      4/12000
91.206.52.24             3856     300051    1779998     0 09w6d11h      1/12000
91.206.52.180           64463     298773    1779998     0 09w6d11h      3/12000
2001:7f8:24::b4         64463     298773    2809230     0 09w6d11h      2/600
91.206.52.101           57118     300192    1779948     0 09w6d11h      8/12000
2001:7f8:24::65         57118     300210    2809307     0 09w6d11h      8/600
91.206.52.136           43284     298616    1779987     0 09w6d11h     13/12000
2001:7f8:24::88         43284     298576    2809482     0 09w6d11h      3/600
2001:7f8:24::29         60390     342907    2809486     0 09w6d11h      0/600
2001:7f8:24::47         34288     329089    2809484     0 09w6d11h      2/600
2001:7f8:24::3c        202194     330035    2809482     0 09w6d11h      3/600
2001:7f8:24::6d        198385     295143    2911904     0 02w0d21h      7/600
91.206.52.124           61174     300178    1780062     0 09w6d11h      5/12000
91.206.52.218          199811     342890    1780066     0 09w6d11h      4/12000
2001:7f8:24::1b         31662     331227    2809485     0 09w6d11h      3/600
91.206.52.27            31662     331223    1780040     0 09w6d11h     12/12000
91.206.52.9             29691     333215    1779725     0 09w6d11h     42/12000
2001:7f8:24::9          29691     333436    2809217     0 09w6d11h     24/600
91.206.52.51            12553     342870    1780069     0 09w6d11h      1/12000
2001:7f8:24::7d        206616     630349    2937122     0 09w6d11h      1/600
2001:7f8:24::82         58299     341877    2852643     0 01w1d13h      4/600
91.206.52.125          206616     630415    2008234     0 09w6d11h      1/12000
91.206.52.58            29075     346201    1778945     0 09w6d11h    385/12000
2001:7f8:24::33         12553     342898    2809781     0 09w6d11h      1/600
91.206.52.130           58299     342194    1841347     0 01w1d13h     29/12000
91.206.52.167           49489     332836    1780474     0 09w6d11h      2/12000
2001:7f8:24::3a         29075     325045    2809605     0 09w6d11h     85/600
91.206.52.12               42     324157    1780472     0 09w6d11h     57/12000
91.206.52.109          198385     302548    1907430     0 02w0d21h     19/12000
91.206.52.210           61287     332880    1781427     0 23:35:50      5/12000
2001:7f8:24::a7         49489     332850    2809830     0 09w6d11h      1/600
91.206.52.13            41872     332815    1780492     0 09w6d11h     18/12000
